task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1462	38/2489e4	2030630	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m18)	COMPLETED	0	2026-08-28 11:31:20.713	2.8s	2.1s	117.9%	95.3 MB	2.8 GB	34.1 MB	572.8 KB
1460	ed/5a46a4	2030641	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m18)	COMPLETED	0	2026-08-28 11:31:20.716	2.8s	2.1s	124.1%	96.8 MB	2.8 GB	34.1 MB	961 KB
1459	28/aacc01	2030237	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m17)	COMPLETED	0	2026-08-28 11:31:19.705	4.6s	4.1s	152.5%	178.9 MB	3.7 GB	49.2 MB	12.9 MB
1463	0e/d3f43c	2032800	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m18)	COMPLETED	0	2026-08-28 11:31:24.293	1.9s	1.3s	407.3%	39.1 MB	2.8 GB	29.4 MB	854.9 KB
1465	ac/c4f420	2035471	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m17)	COMPLETED	0	2026-08-28 11:31:25.300	1.8s	1.1s	337.6%	16.3 MB	23.2 MB	34.2 MB	153.4 KB
1464	c8/d61a8e	2035472	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m17)	COMPLETED	0	2026-08-28 11:31:25.303	2.2s	1.6s	236.5%	96 MB	2.8 GB	34.9 MB	755.4 KB
1466	ed/bdff59	2035478	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m17)	COMPLETED	0	2026-08-28 11:31:25.306	2.2s	1.6s	237.1%	105.7 MB	2.8 GB	34.9 MB	1.3 MB
599	e1/5afd9d	2030113	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m13)	COMPLETED	0	2026-08-28 11:31:19.501	8.8s	8.3s	529.7%	31.2 MB	25.2 GB	158.2 MB	163.7 MB
1467	f9/27d558	2037182	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m17)	COMPLETED	0	2026-08-28 11:31:28.290	2.2s	1.7s	245.0%	79.2 MB	2.8 GB	29.4 MB	1.2 MB
1468	8e/5f31f8	2038306	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m13)	COMPLETED	0	2026-08-28 11:31:29.294	6.5s	5.9s	135.6%	258.4 MB	3.7 GB	66.2 MB	25.8 MB
